IM regime begins (week), smallest tumor size (g), smallest at (week), tumor size at progression (g), SU regime begins (week), smallest tumor size (g), smallest at (week), tumor size at progression (g), REG regime begins (week), smallest tumor size (g), smallest at (week), tumor size at progression (g), time of progression (week), % resistant, 100 g tumor at (week),,
248.5,0.08372157,560,0.14513261,596,0.04046946,652.5,0.07052299,689,0.03040232,731.5,0.05296927,768.5,0,1094.5,,
248.5,0.03355647,585,0.05830394,622,0.02365148,666,0.041265,703.5,0.041265,666,0.07218692,722.5,0.932166936,1054.5,,
248.5,5.00E-08,878,1.00E-07,878.5,6.00E-08,879.5,1.10E-07,881.5,1.00E-08,885,2.00E-08,886.5,0,,,
248.5,0.11902413,550,0.20646234,586.5,0.20646234,550,0.35918749,607,0.35918749,550,0.62644345,638,0.935865576,906,,
248.5,0.13213531,547.5,0.22869286,583.5,0.01422574,682,0.02466058,719.5,0.0102672,762.5,0.01791389,800,0,1170,,
248.5,0.28737523,526,0.50206572,562.5,0.50206572,526,0.87383008,583.5,0.02890848,701,0.05056325,737.5,0,1104.5,,
248.5,0.1076604,553.5,0.18719577,589.5,0.06684746,638.5,0.1166628,675.5,0.1166628,638.5,0.2042861,694.5,0.932992896,984,,
248.5,0.03536367,584,0.06171027,621,1.00E-07,970.5,1.80E-07,972.5,1.70E-07,973,3.10E-07,977,0,,,
248.5,0.16611053,540.5,0.28818829,577.5,0.28818829,540.5,0.50401197,602,0.50401197,540.5,0.87498525,621.5,0.967200807,878,,
248.5,0.00214928,661.5,0.00373525,698.5,,,,,,,,,,,,
248.5,0.69000695,501,1.19670091,538,1.19670091,501,2.08503456,560,2.0754299,563,3.60605909,602.5,0.94137674,832,,
248.5,0.35897072,519,0.62129795,556,1.70E-07,962,3.40E-07,963,3.20E-07,963.5,5.70E-07,968.5,0,1714.5,,
248.5,0.16534428,540.5,0.28739119,577.5,0.08022778,634.5,0.13869433,670.5,0.13869433,634.5,0.24257155,689.5,0.932896871,960.5,,
248.5,0.02882734,590,0.05028539,625.5,0.02130321,670,0.03681904,706,0.03140097,723.5,0.05428994,760,0.704456479,1119.5,,
248.5,0.48083693,511,0.83468668,548,0.33284723,594.5,0.57916791,631.5,0.31849432,667.5,0.55359951,704,0.357016519,965.5,,
248.5,0.00279284,657.5,0.00488629,692,0.00488629,657.5,0.00852793,712,4.00E-08,947.5,8.00E-08,948,0,,,
248.5,0.60296001,504,1.0494204,542,0.13226206,622.5,0.23110984,659,0.23110984,622.5,0.40057129,684,0.872396472,961,,
248.5,1.11E-06,847.5,2.02E-06,855,,,,,,,,,,,,
248.5,0.04965667,574.5,0.0858681,610.5,8.30E-07,914.5,1.60E-06,929.5,1.60E-06,914.5,2.78E-06,949.5,0,1638.5,,
248.5,0.39892688,516.5,0.68990412,553,0.15868923,615.5,0.27581177,652.5,0.1189516,696,0.20644826,732.5,0,1041.5,,
248.5,0.09032093,558,0.15616554,594,0.15616554,558,0.27259155,615.5,0.03776359,693,0.06576465,728.5,0,1079.5,,
248.5,0.02119246,597.5,0.03700703,634.5,4.50E-07,928,7.80E-07,930,7.80E-07,928,1.56E-06,939.5,0,1617,,
248.5,0.01004112,618.5,0.01738717,654.5,0.01738717,618.5,0.03038823,691,0.01227165,737,0.02130407,772.5,0,1152.5,,
248.5,0.49391251,510.5,0.85413791,547,,,,,,,,,,,,
248.5,0.0236356,595,0.04126657,632,0.0277886,660,0.04843744,696.5,0.04843744,660,0.08416171,726.5,0.84660055,1044.5,,
248.5,0.2030511,534.5,0.35437827,572,1.50E-07,941,2.70E-07,942.5,1.40E-07,945,3.20E-07,948.5,0,1682,,
248.5,3.00E-08,854,7.00E-08,856,4.00E-08,858.5,7.00E-08,859,7.00E-08,858.5,1.40E-07,860.5,0,,,
248.5,3.60E-07,849,6.70E-07,851,,,,,,,,,,,,
248.5,0.18428056,539,0.31858239,574.5,2.00E-08,939,4.00E-08,940,3.00E-08,940.5,7.00E-08,943.5,0,,,
248.5,0.07590834,563,0.13227297,599.5,0.13227297,563,0.22890664,623.5,0.22890664,563,0.39929401,652.5,0.899161748,931,,
248.5,0.11656532,551,0.2039972,587.5,0.2039972,551,0.35338776,608,3.00E-08,1006,7.00E-08,1007.5,0,,,
248.5,0.05547217,571.5,0.09642413,607.5,0.03739338,655,0.06538081,691,0.02805876,734.5,0.04849356,770.5,0,1109.5,,
248.5,0.0339149,585.5,0.05920802,622,0.05920802,585.5,0.10350212,642.5,0.10350212,585.5,0.17959651,661.5,0.994684641,970.5,,
248.5,0.35212329,520.5,0.60872393,556.5,0.60872393,520.5,1.05505958,577.5,0.71049749,606.5,1.23243555,643.5,0.933539705,902,,
